Quote
&x22;I never guess. It is a capital mistake to theorize before one has data.&x22; - <b>Arthur Conan Doyle</b>
&x22;Some of the best theorizing comes after collecting data because then you become aware of another reality.&x22; - <b>Robert J. Shiller</b>
&x22;War is ninety percent information.&x22; - <b>Napoleon Bonaparte</b>
&x22;A point of view can be a dangerous luxury when substituted for insight and understanding.&x22; - <b>Marshall McLuhan</b>
&x22;In God we trust, all others must bring data.&x22; - <b>W. Edwards Deming</b>
&x22;He uses statistics as a drunken man uses lamp posts – for support rather than for illumination.&x22; - <b>Andrew Lang</b>
&x22;Data! Data! Data! I can’t make bricks without clay!&x22; - <b>Sir Arthur Conan Doyle</b>
&x22;Not everything that can be counted counts, and not everything that counts can be counted.&x22; - <b>Albert Einstein</b>
&x22;If you torture the data long enough, it will confess.&x22; - <b>Ronald Coase</b>
&x22;The alchemists in their search for gold discovered many other things of greater value.&x22; - <b>Arthur Schopenhauer</b>
&x22;Once we know something, we find it hard to imagine what it was like not to know it.&x22; - <b>Chip & Dan Heath</b>
&x22;If you can’t explain it simply, you don’t understand it well enough.&x22; - <b>Albert Einstein</b>
&x22;The goal is to turn data into information, and information into insight.&x22; - <b>Carly Fiorina</b>
&x22;Getting information off the Internet is like taking a drink from a fire hydrant.&x22; - <b>Mitchell Kapor</b>
&x22;No generalizing beyond the data, no theory. No theory, no insight. And if no insight, why do research.&x22; - <b>Aristotle</b>
&x22;The purpose of models is not to fit the data but to sharpen the questions.&x22; - <b>Samuel Karlin</b>
&x22;Here and elsewhere we shall not obtain the best insight into things until we actually see them growing from the beginning.&x22; - <b>Carly Fiorina</b>
&x22;With too little data, you won’t be able to make any conclusions that you trust.  With loads of data you will find relationships that aren’t real.&x22; - <b>Douglas Merrill</b>
&x22;When we have all data online it will be great for humanity. It is a prerequisite to solving many problems that humankind faces.&x22; - <b>Robert Cailliau</b>
&x22;For every two degrees the temperature goes up, check-ins at ice cream shops go up by 2%.&x22; - <b>Andrew Hogue</b>
&x22;Data is the new science. Big data holds the answers.&x22; - <b>Pat Gelsinger</b>
&x22;If we have data, let’s look at data. If all we have are opinions, let’s go with mine.&x22; - <b>Jim Barksdale</b>
